length,num_links,num_special_chars,num_keywords,num_urls,num_domains,num_ip_addresses,html_tags,js_code
931,3,48,1,3,2,0,True,False
1112,3,22,0,3,2,0,True,False
1142,1,15,3,1,1,0,True,False
1833,3,44,7,3,2,0,True,False
314,0,17,1,0,0,0,True,False
870,3,21,2,2,2,0,True,False
486,0,18,0,0,0,0,False,False
1117,0,37,2,0,0,0,False,False
125,2,11,0,1,1,0,True,False
1041,0,58,1,0,0,0,False,False
627,0,19,1,0,0,0,True,False
67,0,16,0,0,0,0,False,False
329,0,8,0,0,0,0,False,False
555,1,29,3,1,1,0,True,False
1289,5,52,1,4,2,0,True,False
676,2,38,0,1,1,0,True,False
637,1,15,0,1,1,0,False,False
2269,9,100,5,9,3,0,True,False
385,0,9,1,0,0,0,False,False
1387,1,15,0,1,1,0,False,False
1109,0,31,2,0,0,0,False,False
1109,0,31,2,0,0,0,False,False
518,1,24,1,1,1,0,True,False
428,1,19,3,1,1,0,True,False
612,2,27,5,1,1,0,True,False
305,0,8,1,0,0,0,False,False
927,0,23,3,0,0,0,False,False
7178,6,67,5,6,2,0,True,False
381,0,8,1,0,0,0,False,False
4249,3,48,4,3,1,0,True,False
350,0,11,0,0,0,0,False,False
277,0,11,0,0,0,0,False,False
902,2,102,0,2,1,0,True,False
745,1,39,7,1,1,0,True,False
1150,0,35,2,0,0,0,False,False
711,2,19,0,2,1,0,True,False
583,2,18,1,2,2,0,True,False
627,0,19,1,0,0,0,True,False
812,1,38,0,1,1,0,True,False
1275,1,37,2,1,1,0,False,False
692,0,20,0,0,0,0,False,False
4552,1,143,1,1,1,0,False,False
587,0,19,1,0,0,0,True,False
1940,0,56,3,0,0,0,False,False
492,1,20,5,1,1,0,True,False
53,0,2,0,0,0,0,False,False
1029,3,46,1,3,2,0,True,False
539,0,23,4,0,0,0,True,False
686,1,19,5,1,1,0,True,False
872,1,28,0,1,1,0,True,False
823,0,23,0,0,0,0,False,False
856,3,48,1,3,2,0,True,False
919,3,50,1,3,2,0,True,False
405,0,9,0,0,0,0,False,False
913,1,43,0,1,1,0,True,False
1478,3,43,2,3,1,0,True,False
1504,3,44,2,3,1,0,True,False
1482,1,58,2,1,1,0,False,False
1087,1,25,1,1,1,0,True,False
924,0,23,0,0,0,0,False,False
1286,3,56,1,3,2,0,True,False
580,3,22,0,3,3,0,True,False
103,0,1,0,0,0,0,False,False
872,0,31,0,0,0,0,True,False
627,0,19,1,0,0,0,True,False
1671,3,71,2,3,1,0,True,False
1682,3,70,2,3,1,0,True,False
601,0,19,1,0,0,0,True,False
1247,0,46,1,0,0,0,False,False
836,0,33,1,0,0,0,False,False
630,1,22,6,1,1,0,True,False
2335,3,169,0,3,1,0,True,False
3271,2,69,0,2,1,0,False,False
4403,10,141,14,10,2,0,True,False
291,0,8,0,0,0,0,False,False
636,1,18,4,1,1,0,True,False
348,0,9,2,0,0,0,False,False
290,2,15,0,1,1,0,True,False
336,0,6,0,0,0,0,False,False
384,0,14,0,0,0,0,True,False
470,1,19,5,1,1,0,True,False
508,0,12,0,0,0,0,False,False
847,6,46,0,4,4,0,True,False
482,1,19,5,1,1,0,True,False
414,0,10,0,0,0,0,False,False
1000,6,57,0,6,4,0,True,False
874,2,29,1,2,1,0,False,False
1912,0,43,0,0,0,0,False,False
889,1,56,6,1,1,0,True,False
845,0,7,4,0,0,0,False,False
813,1,13,3,1,1,0,True,False
595,0,19,1,0,0,0,True,False
153,0,7,0,0,0,0,False,False
336,0,17,1,0,0,0,False,False
1099,0,28,1,0,0,0,False,False
1087,0,26,1,0,0,0,False,False
731,2,26,1,2,1,0,False,False
589,0,19,1,0,0,0,True,False
3686,3,29,3,3,1,0,True,False
201,1,5,0,1,1,0,False,False
1367,8,50,3,8,3,0,True,False
1367,8,50,3,8,3,0,True,False
791,2,34,2,2,1,0,True,False
2103,5,86,10,5,1,0,True,False
501,0,10,3,0,0,0,False,False
618,1,22,1,1,1,0,True,False
3958,5,132,0,3,2,0,True,False
567,0,17,0,0,0,0,False,False
2052,11,88,1,11,7,0,True,False
1055,2,35,0,2,1,0,True,False
1082,0,36,2,0,0,0,False,False
1214,1,40,2,1,1,0,True,False
1020,1,28,1,1,1,0,False,False
1243,6,66,0,6,4,0,True,False
328,1,19,2,1,1,0,True,False
1328,3,51,0,3,1,0,True,False
786,2,31,8,2,1,0,True,False
539,1,18,7,1,1,0,True,False
511,1,21,3,1,1,0,True,False
1411,3,49,1,2,2,0,True,False
1238,0,30,1,0,0,0,False,False
1094,0,25,1,0,0,0,False,False
235,0,7,0,0,0,0,False,False
1249,0,30,2,0,0,0,False,False
1231,0,28,2,0,0,0,False,False
758,1,23,3,1,1,0,True,False
531,1,27,2,1,1,0,True,False
